,Lesson(s) Learned Level 1,Driving Event Level 1,Recommendation(s) Level 1,Lesson IDs for row,Number of lessons for row
1257,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[713, 1487, 1780]",3
1258,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[802, 813, 822, 1116, 1277, 1316, 1387, 1725]",8
1259,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify",[3697],1
1260,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[1254],1
1261,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[1217],1
1262,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[471, 699, 878, 1130, 26703]",5
1263,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector",[394],1
1264,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[269],1
1265,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[400, 2037]",2
1266,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[24502],1
1267,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","crane, strap, second, lift, load, redesign, release, secure, stop, modify",[6577],1
1268,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[317, 861, 883, 945, 1483, 1501, 1733, 2156, 5201, 6146, 6357, 6656, 25801]",13
1269,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[482, 1202, 5163]",3
1270,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[4658],1
1271,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[317, 861, 883, 945, 1483, 1501, 1733, 2156, 5201, 6146, 6357, 6656, 25801]",13
1272,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","mandatory, conflict, safety concern, prior release, incoming, mandatory inspection, paper, space center, release, section",[1216],1
1273,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[802, 813, 822, 1116, 1277, 1316, 1387, 1725]",8
1274,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic",[1021],1
1275,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[261, 323, 352, 384, 542, 645, 654, 717, 731, 756, 783, 793, 806, 811, 855, 1061, 1279, 1532]",18
1276,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[273, 370, 612, 6536]",4
1277,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[1189, 1333, 2896, 5957]",4
1278,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[1053, 1069, 6937]",3
1279,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection",[901],1
1280,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","circuit, temperature, redundant, part stress, transient, assume, selection, stress, mode, consider",[342],1
1281,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic",[307],1
1282,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[26303],1
1283,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","vacuum, extend period, plate, hour, extend, carefully, consider, mount, period, temperature","[272, 397, 21301, 23801]",4
1284,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term",[23201],1
1285,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[1374, 14902]",2
1286,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[29, 2956, 3576, 4584]",4
1287,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","assumption, ensure proper, always, vent, placement, high priority, particle, pyro, precaution, doubt","[273, 370, 612, 6536]",4
1288,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[411, 4977]",2
1289,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door",[5061],1
1290,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[41, 3016, 5057, 7156]",4
1291,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[284, 2045, 5099]",3
1292,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[6142],1
1293,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[1517, 6149]",2
1294,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[6377],1
1295,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic",[5776],1
1296,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[32, 103, 128, 235, 257, 298, 310, 399, 545, 613, 767, 857, 936, 1049, 1071, 1624, 2876, 3640, 5876, 6758]",20
1297,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","[23, 1010, 1079, 3556]",4
1298,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","crane, strap, second, lift, load, redesign, release, secure, stop, modify",[3339],1
1299,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","[1315, 2316, 4020]",3
1300,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[1365, 1488, 1714, 2337, 3636]",5
1301,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[46, 92, 1194, 2216]",4
1302,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[2036, 5205]",2
1303,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[713, 1487, 1780]",3
1304,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[383, 1713, 5479]",3
1305,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[19, 45, 154, 221, 223, 290, 447, 553, 862, 1393, 1613, 2837, 5336]",13
1306,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[1513],1
1307,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[567, 873, 1357, 1511]",4
1308,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[396, 649, 1494]",3
1309,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[1490],1
1310,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","[1343, 1578]",2
1311,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","measure, bearing, constrain, impose, attitude control, frequency, limitation, constraint, condition, performance","[117, 946, 1240, 4217]",4
1312,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection",[1129],1
1313,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[1113, 5916]",2
1314,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[98, 105, 561, 859, 1094]",5
1315,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[1035],1
1316,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[968],1
1317,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[98, 105, 561, 859, 1094]",5
1318,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[118, 328, 469, 836, 860, 1771, 2536]",7
1319,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[554, 687, 705, 763, 789, 15702]",6
1320,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[297, 877]",2
1321,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[330, 490, 1100]",3
1322,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","assumption, ensure proper, always, vent, placement, high priority, particle, pyro, precaution, doubt",[152],1
1323,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[11, 12, 121, 190]",4
1324,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[262, 926, 1237, 1262, 9001, 10801]",6
1325,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[487, 1856, 2298, 2356]",4
1326,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[908, 4596]",2
1327,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","install, feature, joint, assembly, component, opportunity, delivery, prior delivery, minimize potential, deal","[1343, 1578]",2
1328,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic",[1306],1
1329,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[1232],1
1330,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[1250],1
1331,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[46, 92, 1194, 2216]",4
1332,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[960],1
1333,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[349, 924]",2
1334,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[474],1
1335,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[404, 1043]",2
1336,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[147],1
1337,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[107, 176, 1390, 1395]",4
1338,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[118, 328, 469, 836, 860, 1771, 2536]",7
1339,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","passage, blockage, quick disconnect, science instrument, compression, flow path, alteration, loosen, horsepower, gathering","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[471, 699, 878, 1130, 26703]",5
1340,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","[271, 1486]",2
1341,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[1113, 5916]",2
1342,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[854],1
1343,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[1338],1
1344,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1142],1
1345,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector",[1036],1
1346,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[1002, 1009, 3557]",3
1347,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[825, 953, 955, 1076, 5536]",5
1348,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[880, 1296]",2
1349,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[200, 681, 1383, 4881, 8402]",5
1350,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","measure, bearing, constrain, impose, attitude control, frequency, limitation, constraint, condition, performance","[224, 518, 653, 656, 657, 663, 704, 706, 715, 721, 791, 1018, 1165, 1261, 1626]",15
1351,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[572, 614, 1263, 1352, 1839, 2046]",6
1352,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","install, feature, joint, assembly, component, opportunity, delivery, prior delivery, minimize potential, deal",[558],1
1353,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[325, 551, 1849]",3
1354,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","install, feature, joint, assembly, component, opportunity, delivery, prior delivery, minimize potential, deal","[258, 647, 698]",3
1355,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[129, 177, 178, 198, 255, 308, 453, 492, 1324, 1415, 3157, 5796, 14701]",13
1356,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[29, 2956, 3576, 4584]",4
1357,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[317, 861, 883, 945, 1483, 1501, 1733, 2156, 5201, 6146, 6357, 6656, 25801]",13
1358,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[643, 914, 1023, 1085, 1096, 1349, 1582, 1832, 2057]",9
1359,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1606],1
1360,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","electronics, tape, scenario, spacecraft, possibility, vent, consideration, position, significant, capability","[138, 625, 1027, 1148, 1208, 1410, 1718, 1759]",8
1361,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","circuit, temperature, redundant, part stress, transient, assume, selection, stress, mode, consider",[603],1
1362,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","electronics, tape, scenario, spacecraft, possibility, vent, consideration, position, significant, capability","[23, 1010, 1079, 3556]",4
1363,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","vacuum, extend period, plate, hour, extend, carefully, consider, mount, period, temperature","[14, 75, 169, 181, 907]",5
1364,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[602, 734, 762, 804, 810, 835, 891, 1057, 12101]",9
1365,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[1060, 10401]",2
